2.160.10	2244	659	587	736	6758	1852	775	777	271	802	1581	722	253	557	42	712	66	1245	1444	210	91	11	195	1684	647	255	244	343	116	95	387	318	231	556	1739	76	180	214	672	202	89	179	
2.160.10	2382	642	553	823	7023	1885	771	661	225	686	1482	643	205	439	56	709	65	1175	1415	178	98	10	180	1793	592	245	204	324	129	81	311	296	219	568	1919	78	168	178	823	207	90	241	
2.160.10	2102	592	545	773	6190	1740	627	492	234	817	1506	807	216	385	24	896	121	1148	1219	178	105	6	133	1689	588	298	235	318	87	68	289	319	314	598	1822	81	185	129	791	227	87	272	
2.160.10	1867	615	571	681	5221	1661	576	563	397	983	1451	898	286	375	65	825	153	982	1097	230	111	12	101	1490	520	335	284	334	111	69	306	291	325	496	1528	88	205	134	574	226	105	198	
2.160.10	2340	625	534	833	6878	1772	714	628	185	652	1399	633	173	422	36	654	55	1092	1285	166	68	4	178	1797	609	262	206	335	124	80	314	281	226	569	1904	77	170	187	849	204	90	250	
2.160.10	2095	546	560	768	5772	1538	527	352	186	784	1597	953	220	325	36	972	159	1124	1195	109	87	8	112	1678	506	307	245	289	50	66	279	233	334	504	1730	85	174	109	704	215	77	260	
2.160.10	1225	344	344	419	3563	959	430	334	123	374	877	366	119	300	24	400	45	657	692	97	52	3	128	908	309	120	161	197	50	52	188	151	142	313	966	48	123	124	416	115	51	100	
2.160.10	1802	483	422	657	5355	1441	510	482	147	738	1230	590	130	285	23	612	54	884	1029	116	59	6	145	1477	500	227	168	241	59	53	299	250	215	426	1528	71	136	134	660	178	79	220	
2.160.10	1876	547	511	698	5263	1540	596	541	240	650	1431	554	268	422	72	731	136	935	1034	157	68	5	121	1505	515	246	237	338	97	80	306	254	218	475	1485	69	201	150	615	216	80	205	
2.160.10	1486	404	383	486	4309	1117	479	391	137	468	988	420	149	328	20	497	52	775	859	79	57	5	125	1111	357	159	173	239	52	40	218	173	153	367	1150	54	118	127	459	142	57	108	
2.160.10	2062	535	588	797	5728	1501	580	365	208	715	1569	826	254	332	28	920	178	1125	1029	94	106	8	88	1694	510	291	329	286	65	46	300	229	391	616	1711	89	230	109	704	245	86	268	
2.160.10	2111	593	573	783	5701	1670	553	409	237	797	1608	916	263	322	46	949	196	1132	1194	139	110	9	117	1733	549	344	260	305	74	70	288	279	307	516	1771	97	187	118	679	225	79	264	
2.160.10	1793	491	531	644	5126	1312	517	441	179	684	1293	673	217	370	30	718	134	983	945	102	74	2	148	1349	413	221	256	279	52	80	309	222	279	451	1416	94	168	136	594	172	83	178	
2.160.10	1620	509	478	573	4570	1387	524	494	267	658	1278	648	209	327	68	624	123	830	988	177	83	5	95	1239	420	239	217	280	82	67	260	232	233	401	1312	71	178	113	471	204	73	153	
2.160.10	2202	639	555	823	6547	1912	636	481	305	984	1563	910	207	352	23	949	101	1146	1359	209	102	9	134	1894	580	387	247	348	113	52	331	335	337	656	2038	98	233	143	810	272	94	306	
2.160.10	1334	433	389	456	3755	1122	488	365	201	542	950	556	208	295	29	630	113	723	889	151	78	11	98	1023	367	211	170	243	72	50	218	199	204	317	1033	66	105	107	391	151	62	116	
2.160.10	2115	597	548	783	6265	1749	640	500	238	773	1529	845	239	333	40	923	96	1051	1264	152	93	6	129	1725	566	323	219	303	96	57	306	328	347	581	1776	88	195	129	803	215	87	271	
2.160.10	2189	643	561	708	6689	1838	760	740	247	783	1585	649	239	510	58	703	62	1200	1397	191	92	11	190	1649	612	255	236	375	122	94	361	316	208	556	1744	83	191	186	680	209	82	168	
2.160.10	1055	326	277	371	3027	887	420	345	124	388	693	325	97	222	15	362	31	529	678	81	39	2	87	799	285	139	114	204	59	45	178	167	103	255	827	46	100	97	340	109	49	91	
2.160.10	1956	562	472	763	5592	1590	538	467	185	733	1252	719	168	324	27	721	59	906	1046	175	74	5	112	1568	538	309	195	246	84	58	262	278	266	511	1731	65	169	128	752	222	88	287	
2.160.10	2159	623	584	727	6621	1754	777	727	242	722	1582	678	240	528	52	694	76	1179	1289	170	63	9	211	1673	632	237	252	315	96	99	357	285	205	567	1696	83	219	202	695	211	94	178	
2.160.10	2122	606	563	798	6171	1723	613	522	263	800	1454	795	274	346	25	898	135	1139	1228	171	90	1	137	1761	535	333	274	337	99	66	302	296	343	629	1859	83	222	133	808	254	96	284	
