2.160.10	0	0	0	0	0	0	1	170	170	170	170	170	170	172	196	284	364	455	547	614	697	767	804	849	881	914	956	1023	1098	1160	1209	1262	1341	1421	1483	1566	1676	1794	1912	2013	2123	2220	2304	2405	2504	2591	2695	2809	2933	3043	3160	3260	3366	3471	3590	3671	3789	3921	4072	4198	4324	4446	4587	4722	4856	4982	5126	5273	5412	5570	5713	5853	5990	6122	6268	6419	6533	6656	6792	6914	7041	7174	7319	7468	7616	7775	7915	8053	8211	8333	8465	8610	8757	8886	9003	9125	9244	9370	9484	9603	9720	9819	9921	10039	10146	10256	10371	10486	10589	10690	10799	10903	10984	11091	11201	11300	11386	11467	11566	11658	11763	11850	11936	12004	12077	12148	12212	12282	12372	12444	12522	12593	12659	12730	12802	12862	12935	12987	13041	13098	13166	13224	13299	13356	13406	13457	13500	13532	13578	13619	13658
2.160.10	0	0	0	0	0	0	0	196	196	196	196	196	196	197	212	321	394	495	589	693	770	855	921	968	995	1027	1079	1142	1228	1300	1375	1455	1543	1640	1710	1800	1899	2035	2178	2328	2456	2578	2695	2811	2920	3024	3125	3239	3386	3515	3623	3757	3879	4008	4144	4276	4415	4541	4695	4853	4983	5116	5261	5431	5578	5757	5901	6061	6246	6422	6604	6762	6911	7071	7223	7373	7570	7727	7867	8009	8150	8312	8482	8634	8804	8982	9131	9321	9496	9657	9818	9978	10153	10303	10443	10590	10730	10874	11018	11151	11286	11419	11547	11666	11816	11941	12048	12183	12317	12477	12602	12744	12879	12996	13108	13241	13351	13474	13597	13735	13861	13985	14122	14239	14329	14426	14521	14637	14731	14841	14953	15052	15139	15244	15323	15414	15525	15643	15750	15847	15936	16050	16164	16239	16319	16398	16464	16538	16608	16669	16716
2.160.10	0	0	0	0	0	0	0	225	225	225	225	225	225	227	273	370	451	567	667	769	848	925	998	1055	1098	1142	1191	1259	1337	1430	1492	1558	1623	1716	1812	1914	2043	2164	2333	2469	2583	2723	2827	2929	3052	3155	3286	3410	3552	3668	3788	3918	4037	4178	4326	4463	4592	4736	4904	5078	5234	5385	5539	5704	5870	6037	6207	6375	6552	6739	6923	7090	7262	7441	7593	7744	7884	8033	8181	8320	8515	8690	8872	9050	9217	9403	9586	9741	9916	10085	10248	10415	10591	10757	10927	11075	11216	11358	11506	11631	11769	11901	12017	12137	12260	12389	12533	12684	12817	12944	13076	13188	13318	13442	13584	13721	13851	13974	14116	14252	14382	14500	14625	14732	14850	14958	15047	15149	15258	15381	15479	15578	15690	15788	15878	15992	16094	16232	16371	16499	16627	16724	16841	16938	17041	17142	17231	17330	17429	17510	17599
2.160.10	0	0	0	0	0	0	0	183	183	183	183	183	183	186	210	283	350	472	578	661	734	789	835	883	923	962	1011	1059	1121	1182	1240	1306	1366	1441	1536	1615	1719	1825	1934	2047	2154	2241	2349	2446	2531	2618	2722	2839	2955	3045	3155	3261	3366	3480	3581	3682	3809	3928	4075	4227	4354	4471	4584	4723	4861	5007	5143	5269	5411	5569	5709	5832	5958	6119	6249	6371	6499	6615	6743	6877	7013	7146	7291	7412	7556	7725	7879	8012	8181	8338	8466	8610	8768	8921	9048	9175	9303	9442	9582	9702	9813	9921	10041	10156	10271	10379	10495	10623	10739	10870	10976	11100	11212	11326	11444	11556	11664	11791	11906	12023	12129	12237	12345	12438	12546	12636	12728	12822	12912	13000	13107	13188	13287	13401	13497	13596	13679	13763	13871	13964	14029	14109	14196	14299	14385	14462	14551	14632	14703	14775	14851
2.160.10	0	0	0	0	0	0	0	172	172	172	172	172	172	175	202	267	329	414	500	605	680	738	796	837	865	893	936	978	1036	1091	1153	1216	1279	1355	1433	1520	1628	1738	1856	1957	2063	2151	2217	2311	2425	2505	2591	2690	2781	2889	2994	3110	3222	3346	3444	3559	3672	3823	3943	4065	4183	4299	4411	4536	4671	4792	4928	5072	5213	5326	5475	5587	5733	5864	5990	6123	6254	6370	6496	6630	6770	6922	7043	7165	7301	7439	7563	7697	7823	7935	8049	8190	8320	8434	8541	8664	8793	8915	9026	9120	9212	9322	9436	9544	9667	9767	9871	9966	10063	10177	10282	10375	10479	10578	10665	10755	10854	10949	11050	11146	11218	11288	11370	11445	11526	11600	11687	11761	11843	11927	12006	12085	12160	12226	12302	12373	12434	12506	12566	12640	12709	12767	12830	12892	12935	12999	13058	13117	13157	13204	13254
2.160.10	0	0	0	0	0	0	0	225	225	225	225	225	225	226	247	349	429	559	669	753	844	910	986	1051	1084	1125	1180	1239	1330	1411	1477	1534	1612	1700	1803	1897	2020	2140	2285	2432	2567	2682	2804	2911	3026	3136	3256	3407	3527	3625	3730	3862	3994	4121	4264	4402	4538	4678	4844	5022	5192	5338	5491	5643	5788	5958	6133	6291	6483	6657	6831	7012	7169	7340	7498	7655	7818	7960	8108	8264	8432	8600	8768	8959	9144	9326	9494	9675	9851	10010	10177	10321	10495	10648	10807	10961	11132	11281	11419	11555	11694	11805	11927	12055	12152	12297	12433	12577	12717	12843	12970	13107	13222	13334	13470	13603	13739	13860	14000	14122	14255	14396	14511	14635	14736	14827	14926	15009	15118	15223	15346	15448	15570	15682	15797	15890	15998	16119	16239	16364	16476	16608	16729	16832	16925	17032	17113	17202	17275	17377	17461
2.160.10	0	0	0	0	0	0	0	207	207	207	207	207	207	214	255	328	419	508	602	690	772	825	882	930	975	1020	1062	1126	1172	1239	1311	1383	1456	1539	1620	1717	1813	1922	2051	2151	2247	2341	2443	2543	2654	2746	2850	2950	3051	3176	3318	3422	3508	3635	3754	3873	3989	4114	4251	4361	4491	4636	4763	4900	5022	5158	5289	5454	5588	5722	5862	6011	6149	6297	6422	6551	6673	6803	6916	7066	7208	7373	7524	7678	7826	7950	8095	8237	8374	8511	8666	8805	8963	9118	9242	9384	9521	9663	9790	9923	10073	10201	10334	10470	10603	10735	10875	11017	11125	11267	11395	11531	11665	11806	11932	12062	12201	12334	12472	12606	12739	12897	13023	13160	13292	13421	13524	13651	13762	13877	14004	14118	14247	14360	14496	14618	14722	14854	14954	15056	15169	15278	15401	15505	15612	15704	15799	15917	16027	16116	16214
2.160.10	0	0	0	0	0	0	0	111	111	111	111	111	111	111	127	173	220	260	330	383	434	484	513	530	545	563	587	621	666	716	757	796	849	899	950	976	1028	1113	1183	1251	1309	1363	1416	1476	1534	1585	1628	1689	1761	1828	1894	1962	2022	2092	2155	2208	2275	2338	2404	2490	2563	2632	2694	2760	2834	2915	2999	3076	3152	3244	3330	3401	3465	3534	3599	3674	3737	3814	3881	3947	4014	4086	4158	4230	4294	4373	4431	4504	4562	4622	4677	4736	4795	4862	4927	4981	5034	5076	5113	5153	5188	5232	5267	5289	5332	5373	5407	5439	5480	5506	5540	5569	5597	5623	5657	5684	5704	5725	5745	5777	5805	5827	5851	5865	5888	5913	5930	5950	5972	5989	6007	6018	6030	6032	6043	6053	6067	6081	6093	6100	6111	6123	6135	6142	6152	6159	6165	6171	6181	6183	6186
2.160.10	0	0	0	0	0	0	0	156	156	156	156	156	157	158	189	256	322	401	480	555	626	682	724	754	790	817	865	905	955	1029	1069	1125	1181	1232	1302	1359	1464	1561	1667	1750	1849	1928	2005	2093	2167	2262	2355	2459	2549	2632	2726	2823	2919	3016	3127	3213	3320	3421	3538	3639	3733	3855	3987	4099	4219	4331	4459	4593	4730	4852	4973	5088	5204	5334	5455	5557	5676	5787	5900	6014	6124	6238	6367	6479	6588	6727	6851	6987	7104	7222	7358	7476	7572	7681	7776	7907	7998	8102	8195	8289	8366	8467	8561	8642	8733	8817	8905	9008	9094	9179	9274	9367	9448	9524	9607	9687	9746	9820	9906	9982	10059	10139	10213	10283	10350	10417	10483	10545	10604	10656	10711	10765	10823	10890	10938	10993	11051	11101	11158	11220	11279	11326	11379	11424	11460	11496	11540	11583	11613	11646	11685
2.160.10	0	0	0	0	0	0	0	186	186	186	186	186	187	192	222	315	377	454	539	622	699	763	816	867	901	946	995	1046	1110	1150	1207	1252	1314	1395	1469	1571	1685	1786	1910	2025	2163	2242	2321	2422	2514	2609	2713	2824	2918	3028	3133	3247	3347	3468	3601	3711	3813	3949	4097	4242	4383	4512	4631	4779	4921	5052	5198	5337	5485	5623	5764	5911	6044	6187	6334	6453	6570	6719	6856	7014	7150	7282	7427	7573	7717	7870	8022	8173	8321	8448	8598	8744	8880	9015	9156	9300	9432	9568	9702	9831	9944	10083	10210	10332	10460	10602	10730	10860	10994	11121	11240	11363	11494	11619	11740	11869	11981	12096	12207	12333	12443	12561	12677	12771	12889	12990	13092	13204	13315	13399	13500	13590	13709	13809	13893	13991	14100	14185	14273	14370	14463	14565	14660	14722	14801	14867	14926	15013	15081	15145	15213
